year,semester,campus,course_prefix,course_num,total_enrolled,passed_count,failed_count,fail_ratio,is_offered
2024,Fall,Beirut,BIF,498HC,6,6,0,0,1
2024,Fall,Beirut,BIF,498HI,3,3,0,0,1
2024,Fall,Beirut,CSC,498HE,4,4,0,0,1
2024,Fall,Byblos,BIF,205,11,9,1,0.181818182,1
2024,Fall,Byblos,BIF,243,17,14,1,0.176470588,1
2024,Fall,Byblos,BIF,245,5,2,1,0.6,1
2024,Fall,Byblos,BIF,310,16,14,1,0.125,1
2024,Fall,Byblos,BIF,345,1,1,0,0,1
2024,Fall,Byblos,BIF,375,11,11,0,0,1
2024,Fall,Byblos,BIF,524,15,15,0,0,1
2024,Fall,Byblos,BIF,599,5,5,0,0,1
2024,Fall,Byblos,CSC,201,86,80,2,0.069767442,1
